Stage1:Round1:Google:50:-:50,
Stage2:Round1:Facebook:33:33:33,
Stage2:Round2:Amazon:30:-:70,
Stage2:Round3:Google:40:30:30,
Stage2:Round4:Facebook:-:50:50,
Stage2:Round5:Amazon:25:25:50,
Stage3:Round1:Google:35:30:35,
Stage3:Round2:Facebook:-:45:55,
Stage3:Round3:Amazon:-:30:70,
Stage4:Round1:Google:34:33:33,
Stage4:Round2:Facebook:-:40:60,
Stage4:Round3:Amazon:-:30:70,
Stage4:Round4:Google:50:-:50,
Stage4:Round5:Facebook:33:33:33,
Stage4:Round6:Amazon:30:-:70,
Stage4:Round7:Google:20:50:30,
Stage4:Round8:Facebook:-:35:65,
Stage5:Round1:Amazon:30:-:70,
Stage6:Round1:Google:35:-:65,
Stage7:Round1:Facebook:30:40:30,
Stage7:Round2:Amazon:-:30:70,
Stage8:Round1:Google:33:33:33,
Stage8:Round2:Facebook:-:50:50,
Stage8:Round3:Amazon:-:30:70,
Stage9:Round1:Google:50:50:-,
Stage10:Round1:Facebook:49:50:1,
Stage10:Round2:Amazon:25:-:75,
Stage10:Round3:Google:33:33:33,
Stage10:Round4:Facebook:5:50:45,
Stage10:Round5:Amazon:25:-:75,
Stage10:Round6:Google:25:25:50,
Stage11:Round1:Facebook:15:25:60,
Stage11:Round2:Amazon:20:20:60,
Stage11:Round3:Google:33:33:33,
Stage11:Round4:Facebook:20:23:57,
Stage12:Round1:Amazon:20:20:60,
Stage12:Round2:Google:30:20:50,
Stage12:Round3:Facebook:25:25:50,
Stage13:Round1:Amazon:20:20:60,
Stage13:Round2:Google:33:33:33,
