Stage1:Round1:Google:50:-:50,
success,
Stage2:Round1:Facebook:-:50:50,
success,
Stage3:Round1:Amazon:25:25:50,
Stage3:Round2:Google:33:33:33,
Stage3:Round3:Facebook:33:33:33,
Stage3:Round4:Amazon:-:30:70,
success,
Stage4:Round1:Google:30:30:40,
Stage4:Round2:Facebook:-:40:60,
success,
Stage5:Round1:Amazon:30:-:70,
success,
Stage6:Round1:Google:50:-:50,
Stage6:Round2:Facebook:-:40:60,
success,
Stage7:Round1:Amazon:-:40:60,
success,
Stage8:Round1:Google:40:-:60,
success,
Stage9:Round1:Facebook:30:30:40,
Stage9:Round2:Amazon:35:-:65,
success,
Stage10:Round1:Google:45:-:55,
Stage10:Round2:Facebook:30:30:40,
Stage10:Round3:Amazon:35:-:65,
success,
Stage11:Round1:Google:38:-:62,
success,
Stage12:Round1:Facebook:30:30:40,
Stage12:Round2:Amazon:-:35:65,
success,
Stage13:Round1:Google:19:19:62,
success,
Stage14:Round1:Facebook:27:27:46,
Stage14:Round2:Amazon:-:35:65,
success,
Stage15:Round1:Google:20:19:61,
Stage15:Round2:Facebook:20:20:50,
Stage15:Round3:Amazon:30:-:70,
success,
Stage16:Round1:Google:37:-:63,
success,
Stage17:Round1:Facebook:-:39:61,
Stage17:Round2:Amazon:30:-:70,
success,
Stage18:Round1:Google:40:-:60,
Stage18:Round2:Facebook:25:25:50,
Stage18:Round3:Amazon:-:30:70,
success,
Stage19:Round1:Google:25:25:50,
Stage19:Round2:Facebook:-:38:62,
success,
Stage20:Round1:Amazon:30:-:70,
Stage20:Round2:Google:37:-:63,
Stage20:Round3:Facebook:25:25:50,
Stage20:Round4:Amazon:-:35:65,
success,
Stage21:Round1:Google:50:-:50,
Stage21:Round2:Facebook:25:25:50,
Stage21:Round3:Amazon:-:35:65,
success,
Stage22:Round1:Google:35:-:65,
success,
Stage23:Round1:Facebook:-:37:63,
Stage23:Round2:Amazon:35:-:65,
success,
Stage24:Round1:Google:20:10:70,
success,
Stage25:Round1:Facebook:-:34:66,
success,
Stage26:Round1:Amazon:-:30:70,
success,
Stage27:Round1:Google:20:20:60,
Stage27:Round2:Facebook:25:25:50,
Stage27:Round3:Amazon:-:30:70,
success,
Stage28:Round1:Google:35:-:65,
success,
Stage29:Round1:Facebook:-:35:65,
success,
Stage30:Round1:Amazon:-:30:70,
success,
Stage31:Round1:Google:36:-:64,
Stage31:Round2:Facebook:-:35:65,
success,
Stage32:Round1:Amazon:25:-:75,
Stage32:Round2:Google:35:-:65,
success,
Stage33:Round1:Facebook:-:35:65,
success,
Stage34:Round1:Amazon:25:-:75,
success,
Stage35:Round1:Google:35:-:65,
success,
Stage36:Round1:Facebook:-:35:65,
success,
Stage37:Round1:Amazon:25:-:75,
success,
Stage38:Round1:Google:35:-:65,
Stage38:Round2:Facebook:-:35:65,
Stage38:Round3:Amazon:25:-:75,
Stage38:Round4:Google:34:-:66,
success,
Stage39:Round1:Facebook:-:35:65,
Stage39:Round2:Amazon:25:-:75,
Stage39:Round3:Google:34:-:66,
success,
