Stage1:Round1:Google:40:-:60,
success,
Stage2:Round1:Facebook:30:30:40,
Stage2:Round2:Amazon:-:35:65,
success,
Stage3:Round1:Google:40:-:60,
success,
Stage4:Round1:Facebook:30:30:40,
Stage4:Round2:Amazon:30:-:70,
success,
Stage5:Round1:Google:30:30:40,
Stage5:Round2:Facebook:30:30:40,
Stage5:Round3:Amazon:-:30:70,
Stage5:Round4:Google:30:30:40,
Stage5:Round5:Facebook:30:30:40,
Stage5:Round6:Amazon:-:35:65,
Stage5:Round7:Google:30:30:40,
success,
Stage6:Round1:Facebook:30:30:40,
Stage6:Round2:Amazon:20:20:60,
Stage6:Round3:Google:30:30:40,
Stage6:Round4:Facebook:30:30:40,
Stage6:Round5:Amazon:-:30:70,
Stage6:Round6:Google:30:30:40,
Stage6:Round7:Facebook:30:30:40,
Stage6:Round8:Amazon:40:-:60,
success,
Stage7:Round1:Google:30:30:40,
Stage7:Round2:Facebook:30:30:40,
Stage7:Round3:Amazon:35:-:65,
success,
Stage8:Round1:Google:30:30:40,
