Stage1:Round1:Google:33:33:33,
Stage1:Round2:Facebook:50:50:-,
success,
Stage2:Round1:Amazon:40:-:60,
Stage2:Round2:Google:50:50:-,
success,
Stage3:Round1:Facebook:-:50:50,
success,
Stage4:Round1:Amazon:25:25:50,
Stage4:Round2:Google:33:33:33,
Stage4:Round3:Facebook:-:60:40,
success,
Stage5:Round1:Amazon:40:-:60,
Stage5:Round2:Google:50:-:50,
success,
Stage6:Round1:Facebook:40:60:-,
Stage6:Round2:Amazon:-:50:50,
success,
Stage7:Round1:Google:50:50:-,
success,
Stage8:Round1:Facebook:28:45:27,
Stage8:Round2:Amazon:45:-:55,
success,
Stage9:Round1:Google:53:-:47,
success,
Stage10:Round1:Facebook:-:50:50,
success,
Stage11:Round1:Amazon:-:45:55,
success,
Stage12:Round1:Google:53:-:47,
success,
Stage13:Round1:Facebook:30:40:30,
Stage13:Round2:Amazon:50:-:50,
success,
Stage14:Round1:Google:33:33:33,
Stage14:Round2:Facebook:50:50:-,
success,
Stage15:Round1:Amazon:-:45:55,
success,
Stage16:Round1:Google:33:33:33,
Stage16:Round2:Facebook:31:34:35,
Stage16:Round3:Amazon:-:45:55,
success,
Stage17:Round1:Google:60:40:-,
Stage17:Round2:Facebook:50:50:-,
success,
Stage18:Round1:Amazon:40:-:60,
Stage18:Round2:Google:60:40:-,
Stage18:Round3:Facebook:40:60:-,
Stage18:Round4:Amazon:45:-:55,
success,
Stage19:Round1:Google:45:-:55,
success,
Stage20:Round1:Facebook:-:60:40,
Stage20:Round2:Amazon:45:-:55,
success,
Stage21:Round1:Google:33:33:33,
success,
Stage22:Round1:Facebook:50:50:-,
success,
Stage23:Round1:Amazon:-:45:55,
success,
Stage24:Round1:Google:33:33:33,
success,
Stage25:Round1:Facebook:50:50:-,
success,
Stage26:Round1:Amazon:45:-:55,
success,
Stage27:Round1:Google:33:33:33,
Stage27:Round2:Facebook:45:55:-,
success,
Stage28:Round1:Amazon:-:45:55,
success,
Stage29:Round1:Google:33:33:33,
success,
Stage30:Round1:Facebook:33:33:33,
success,
Stage31:Round1:Amazon:45:-:55,
success,
Stage32:Round1:Google:33:33:33,
Stage32:Round2:Facebook:45:55:-,
success,
Stage33:Round1:Amazon:45:-:55,
success,
Stage34:Round1:Google:50:50:-,
success,
Stage35:Round1:Facebook:50:50:-,
success,
Stage36:Round1:Amazon:-:45:55,
success,
Stage37:Round1:Google:33:33:33,
Stage37:Round2:Facebook:45:55:-,
success,
Stage38:Round1:Amazon:-:45:55,
success,
Stage39:Round1:Google:33:33:33,
