Stage1:Round1:Google:33:33:33,
success,
Stage2:Round1:Facebook:-:50:50,
success,
Stage3:Round1:Amazon:50:-:50,
success,
Stage4:Round1:Google:33:33:33,
success,
Stage5:Round1:Facebook:40:60:-,
Stage5:Round2:Amazon:50:-:50,
success,
Stage6:Round1:Google:35:30:35,
Stage6:Round2:Facebook:50:50:-,
success,
Stage7:Round1:Amazon:50:-:50,
success,
Stage8:Round1:Google:35:30:35,
Stage8:Round2:Facebook:50:50:-,
success,
Stage9:Round1:Amazon:-:40:60,
success,
Stage10:Round1:Google:50:50:-,
success,
Stage11:Round1:Facebook:-:60:40,
Stage11:Round2:Amazon:-:40:60,
success,
Stage12:Round1:Google:33:33:33,
Stage12:Round2:Facebook:-:50:50,
success,
Stage13:Round1:Amazon:35:-:65,
Stage13:Round2:Google:50:-:50,
success,
Stage14:Round1:Facebook:-:50:50,
success,
Stage15:Round1:Amazon:-:35:65,
success,
Stage16:Round1:Google:50:50:-,
success,
Stage17:Round1:Facebook:45:55:-,
success,
Stage18:Round1:Amazon:29:35:36,
Stage18:Round2:Google:50:-:50,
success,
Stage19:Round1:Facebook:45:55:-,
success,
Stage20:Round1:Amazon:40:-:60,
success,
Stage21:Round1:Google:50:-:50,
success,
Stage22:Round1:Facebook:-:50:50,
success,
Stage23:Round1:Amazon:40:-:60,
Stage23:Round2:Google:50:50:-,
success,
Stage24:Round1:Facebook:50:50:-,
success,
Stage25:Round1:Amazon:-:50:50,
success,
Stage26:Round1:Google:33:33:33,
Stage26:Round2:Facebook:50:50:-,
success,
Stage27:Round1:Amazon:45:-:55,
success,
Stage28:Round1:Google:33:33:33,
Stage28:Round2:Facebook:45:55:-,
success,
Stage29:Round1:Amazon:-:40:60,
Stage29:Round2:Google:33:33:33,
Stage29:Round3:Facebook:50:50:-,
success,
Stage30:Round1:Amazon:50:-:50,
success,
Stage31:Round1:Google:33:33:33,
Stage31:Round2:Facebook:-:50:50,
success,
Stage32:Round1:Amazon:35:-:65,
Stage32:Round2:Google:33:33:33,
Stage32:Round3:Facebook:-:50:50,
success,
Stage33:Round1:Amazon:40:-:60,
success,
Stage34:Round1:Google:32:34:34,
success,
Stage35:Round1:Facebook:50:50:-,
success,
Stage36:Round1:Amazon:32:33:35,
Stage36:Round2:Google:33:33:33,
Stage36:Round3:Facebook:45:55:-,
success,
Stage37:Round1:Amazon:50:-:50,
success,
Stage38:Round1:Google:32:34:34,
success,
Stage39:Round1:Facebook:45:55:-,
success,
Stage40:Round1:Amazon:-:45:55,
success,
Stage41:Round1:Google:32:34:34,
Stage41:Round2:Facebook:-:55:45,
success,
Stage42:Round1:Amazon:50:-:50,
success,
Stage43:Round1:Google:0:50:50,
success,
Stage44:Round1:Facebook:-:55:45,
success,
Stage45:Round1:Amazon:40:-:60,
Stage45:Round2:Google:0:50:50,
success,
Stage46:Round1:Facebook:45:55:-,
success,
Stage47:Round1:Amazon:-:40:60,
Stage47:Round2:Google:50:-:50,
success,
Stage48:Round1:Facebook:45:55:-,
success,
Stage49:Round1:Amazon:40:-:60,
Stage49:Round2:Google:50:-:50,
success,
Stage50:Round1:Facebook:-:55:45,
Stage50:Round2:Amazon:49:-:51,
success,
